pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14184602,84602,06475,2,41.284126,-72.3909199999999,A,1,1,1,2,6,0,3,2,NA,1,3,NA,1,1934,1,2,3,4,3,3,3,5.37437915802002,0.13416040683238273
14184607,84607,06498,4,41.280389,-72.434244,A,2,1,1,1,1,0,4,2,NA,2,1,2,2,1943,1,2,3,3,2,4,1,12.77443504333496,0.1771721575520985
14184991,84991,06853,3,41.069495,-73.4423469999999,A,1,1,2,2,5,0,3,NA,NA,2,1,5,4,1954,2,2,3,8,6,2,2,23.886810901908873,0.07061623542298022
14185209,85209,06357,1,41.318666,-72.215128000000007,A,1,NA,1,3,6,1,5,1,1,1,1,5,4,1947,2,2,1,8,4,2,2,8.011285781860352,0.08063681383296548
14185232,85232,06443,1,41.2780849999999,-72.55266,A,1,1,1,1,4,0,4,2,NA,2,2,4,3,1951,2,2,3,8,2,2,2,6.479452133178711,0.06143288578539592
14185278,85278,06855,4,41.0933599999999,-73.4021529999999,A,1,1,1,2,7,0,4,2,NA,1,4,5,5,1972,2,2,3,8,6,3,2,3.657926559448242,0.03761079096219182
14185343,85343,06855,4,41.097776,-73.4016799999999,A,1,1,1,2,2,0,3,2,NA,3,1,3,2,1951,1,2,3,5,3,2,3,6.285740375518799,0.1442669532182535
14185489,85489,06608,2,41.1808079999999,-73.176574,A,1,1,1,2,7,0,5,2,NA,1,4,5,3,1965,2,1,3,5,2,3,2,3.388499021530151,0.06667733611394308
14185546,85546,06604,1,41.1677579999999,-73.188412,A,1,1,1,3,5,1,4,1,2,1,2,4,2,1951,1,2,1,6,2,3,2,2.718812227249146,0.2972076256306307
14185892,85892,06385,4,41.3409989999999,-72.137415,A,1,1,1,2,7,1,3,1,4,2,3,5,4,1927,2,2,3,5,6,3,5,6.494468212127686,0.26325537975603436
14186033,86033,06513,2,41.3063769999999,-72.8910029999999,A,1,1,1,1,4,1,1,1,2,1,1,5,3,1938,2,2,3,7,3,1,2,3.182621002197266,0.03295876116673238
14186034,86034,06880,2,41.103572,-73.381872,A,1,1,1,0,6,2,5,1,2,1,1,5,4,1942,2,2,3,10,2,4,6,3.351674556732178,0.011951973698410702
14186065,86065,06512,4,41.2528799999999,-72.8948249999999,A,2,1,1,0,4,0,2,2,NA,2,4,1,3,1926,1,2,3,4,4,4,3,5.668465137481689,0.18518846841280048
14186074,86074,06870,5,41.019663,-73.5619879999999,A,1,1,1,3,7,2,5,1,2,1,1,5,2,1943,2,2,3,6,6,3,2,5.133577346801758,0.16729833259156054
14186455,86455,06824,3,41.137224,-73.242394,A,1,1,1,2,6,2,5,1,4,1,3,3,2,1972,2,2,3,9,6,2,2,2.812842130661011,0.1483217238151722
14186457,86457,06512,3,41.2587199999999,-72.892278,A,1,1,1,0,4,2,1,1,1,1,2,5,4,1973,2,2,3,9,5,2,3,1.806419730186462,0.058434332899688315
14186478,86478,06498,3,41.2750169999999,-72.4796699999999,A,1,1,1,2,6,2,4,2,1,1,1,5,4,1965,2,2,3,7,5,3,6,5.65856409072876,0.12457608217938154
14186543,86543,06379,1,41.3581059999999,-71.850638,A,1,1,1,4,3,0,3,2,NA,3,2,3,2,1949,2,2,7,7,5,3,3,22.55201148986816,0.5578835724360355
14186817,86817,06516,2,41.2733279999999,-72.944815,A,1,1,1,0,2,0,1,2,NA,2,1,1,2,1958,2,2,3,3,1,2,2,6.233312129974365,0.4315648074142818
14186922,86922,06475,1,41.300387,-72.369235,A,1,1,1,3,6,0,4,2,NA,2,1,3,2,1948,1,2,3,8,6,3,1,7.171365737915039,0.10060928211527717
14186940,86940,06615,2,41.175462,-73.135291,A,1,NA,1,1,7,1,2,1,1,1,1,5,4,1945,2,2,7,4,3,3,2,3.467212438583374,0.29397777278491155
14187194,87194,06320,2,41.350177,-72.101522,A,1,1,1,2,3,0,3,2,NA,2,1,4,1,1944,1,2,3,9,5,2,2,2.29428243637085,0.09791647437852889
