PIN,Longitude,Latitude,elevation_m
14158919,-72.794369,41.2798,6.379943370819092
14158991,-73.058821,41.210138,4.8373823165893555
14159395,-72.679289,41.256415,7.070717811584473
14159545,-72.808126,41.258035,5.247098922729492
14159548,-73.060672,41.211395,7.8280205726623535
14159566,-72.641281,41.284328,1.6765670776367188
14159653,-72.142037,41.310091,12.433741569519043
14159824,-72.936068,41.266281,1.7662733793258667
14159989,-73.233379,41.155521,4.123363018035889
14160091,-72.887707,41.245303,1.338023066520691
14160323,-72.207246,41.306207,3.9697346687316895
14160367,-72.550081,41.278566,4.508346080780029
14160378,-72.869395,41.251336,6.610764026641846
14160419,-72.382116,41.265468,5.5392560958862305
14160631,-71.95912,41.365319,15.526937484741211
14160858,-73.137083,41.184383,3.3331429958343506
14160908,-72.47938,41.271875,5.42349910736084
14161118,-71.845625,41.356297,11.243370056152344
14161476,-73.566784,41.027117,7.291027545928955
14161553,-73.143652,41.17825,2.1706297397613525
14161691,-72.106745,41.329459,9.471722602844238
14161764,-72.46971,41.276636,6.595252513885498
14161779,-73.547672,41.034961,7.396363258361816
14161823,-73.227699,41.156688,7.361176013946533
14161824,-73.599693,41.040699,6.041233062744141
14161861,-72.171795,41.35469,11.516461372375488
14162101,-73.226755,41.158884,5.95555305480957
14162121,-73.131332,41.149975,3.29193377494812
14162289,-72.399748,41.282419,3.1470460891723633
14162304,-73.595618,41.034716,3.7115583419799805
14162618,-71.962336,41.348464,1.5111207962036133
14162827,-72.814362,41.267986,4.98481559753418
14162988,-72.861711,41.2482,8.730557441711426
14163027,-72.86955,41.247377,3.77913498878479
14163072,-72.234419,41.306186,31.582677841186523
14163242,-72.821101,41.261948,2.595048189163208
14163339,-73.169113,41.17494,4.670718193054199
14163359,-72.89223,41.262141,1.353173851966858
14163383,-73.253714,41.138331,2.7777152061462402
14163820,-73.038798,41.214695,5.095301628112793
14163872,-71.962644,41.356006,2.246814727783203
14163952,-72.831287,41.261488,13.123940467834473
14163973,-73.018266,41.209117,8.473079681396484
14163990,-73.114134,41.157665,4.631705284118652
14164149,-73.346387,41.117316,2.5152382850646973
14164253,-72.873174,41.315004,4.595997333526611
14164478,-72.929871,41.281395,2.4605724811553955
14164564,-72.632173,41.277922,5.63078498840332
14164972,-72.308241,41.31543,8.83187484741211
14165012,-72.104763,41.317124,7.941886901855469
14165115,-72.871185,41.250951,6.986295700073242
14165173,-72.824969,41.265805,3.0522186756134033
14165219,-72.790836,41.291425,5.968194484710693
14165398,-71.842006,41.343539,6.6618123054504395
14165525,-73.382831,41.101731,4.100198268890381
14165638,-72.877547,41.245912,6.262810707092285
14165712,-72.809318,41.287449,10.956010818481445
14165843,-72.861637,41.248138,7.226612091064453
14165896,-73.222467,41.163834,9.983901023864746
14165995,-72.88114,41.311822,14.96040153503418
14166051,-73.02299,41.217256,4.691562175750732
14166080,-73.024239,41.208471,1.7112497091293335
14166397,-72.802071,41.269004,3.474367380142212
14166620,-72.589471,41.279573,5.4537353515625
14166816,-72.050691,41.341679,3.636357069015503
14166838,-72.137977,41.324172,33.817832946777344
14166847,-72.945167,41.2609,3.181558847427368
14166864,-72.825025,41.265521,5.232135772705078
14166946,-73.02149,41.209065,6.674272060394287
14167263,-73.222806,41.16587,4.757391929626465
14167333,-73.243661,41.143878,2.0013675689697266
14167409,-72.995182,41.244909,8.959330558776855
14167774,-73.414541,41.087771,2.6578915119171143
14167793,-72.877216,41.328672,4.738646030426025
14167894,-73.407725,41.099572,2.2762343883514404
14168108,-73.434121,41.057627,1.8141210079193115
14168313,-72.234703,41.301699,9.748284339904785
